timestamp,event_type,duration
2023/10/15 12:24:08,update GPU availability:,927.087269ms
2023/10/15 12:24:12,update device duration:,3.657192422s
2023/10/15 12:24:20,unassign duration:,7.559866538s
2023/10/15 12:24:36,assign duration:,16.526097939s
2023/10/15 12:24:36,reconfig total time:,28.942282444s
2023/10/15 12:18:27,update GPU availability:,5.197593992s
2023/10/15 12:18:30,update device duration:,2.710330318s
2023/10/15 12:18:37,unassign duration:,6.924480386s
2023/10/15 12:18:53,assign duration:,16.196752206s
2023/10/15 12:18:53,reconfig total time:,31.428781981s
2023/10/15 12:24:08,update GPU availability:,927.087269ms
2023/10/15 12:24:12,update device duration:,3.657192422s
2023/10/15 12:24:20,unassign duration:,7.559866538s
2023/10/15 12:24:36,assign duration:,16.526097939s
2023/10/15 12:24:36,reconfig total time:,28.942282444s
2023/10/15 12:18:37,unassign duration:,6.924480386s
2023/10/15 12:18:53,assign duration:,16.196752206s
2023/10/15 12:18:53,reconfig total time:,31.428781981s
2023/10/15 12:24:08,update GPU availability:,927.087269ms
2023/10/15 12:24:12,update device duration:,3.657192422s
2023/10/15 12:24:20,unassign duration:,7.559866538s
2023/10/15 12:24:36,assign duration:,16.526097939s
2023/10/15 12:24:36,reconfig total time:,28.942282444s
2023/10/15 12:28:25,update GPU availability:,270.572921ms
2023/10/15 12:28:26,update device duration:,1.334106408s
2023/10/15 12:28:32,unassign duration:,5.515064818s
2023/10/15 12:28:43,assign duration:,11.010397422s
2023/10/15 12:28:43,reconfig total time:,18.259999108s
2023/10/15 12:18:37,unassign duration:,6.924480386s
2023/10/15 12:18:53,assign duration:,16.196752206s
2023/10/15 12:18:53,reconfig total time:,31.428781981s
2023/10/15 12:24:08,update GPU availability:,927.087269ms
2023/10/15 12:24:12,update device duration:,3.657192422s
2023/10/15 12:24:20,unassign duration:,7.559866538s
2023/10/15 12:24:36,assign duration:,16.526097939s
2023/10/15 12:24:36,reconfig total time:,28.942282444s
2023/10/15 12:28:25,update GPU availability:,270.572921ms
2023/10/15 12:28:26,update device duration:,1.334106408s
2023/10/15 12:28:32,unassign duration:,5.515064818s
2023/10/15 12:28:43,assign duration:,11.010397422s
2023/10/15 12:28:43,reconfig total time:,18.259999108s
